Seconds,R_Time,Lat,Long,Animal_ID,Sex,Step_m,Interval_s,Speed_kmh,Heading,State_Num
2260800,2025-01-17 14:00:00,37.16311,-122.08766,164M,M,462.2,14400,0.1156,4.3424,2
2275200,2025-01-17 18:00:00,37.16294,-122.08821,164M,M,52.3,14400,0.0131,2.90456,1
2289600,2025-01-17 22:00:00,37.14928,-122.08407,164M,M,1562.6,14400,0.3907,4.81952,2
2304000,2025-01-18 02:00:00,37.15263,-122.12323,164M,M,3490.6,14400,0.8726,6.05552,3
2318400,2025-01-18 06:00:00,37.15693,-122.12448,164M,M,490.8,14400,0.1227,0.20587,2
2332800,2025-01-18 10:00:00,37.1588,-122.12399,164M,M,212.4,14400,0.0531,0.69078,2
2361600,2025-01-18 18:00:00,37.16041,-122.12232,164M,M,232.3,28800,0.029,2.26545,1
2376000,2025-01-18 22:00:00,37.15701,-122.1172,164M,M,590.6,14400,0.1476,1.20612,2
2390400,2025-01-19 02:00:00,37.16447,-122.09267,164M,M,2326.6,14400,0.5817,2.39161,3
2419200,2025-01-19 10:00:00,37.14602,-122.07111,164M,M,2803.5,28800,0.3504,2.06967,2
2433600,2025-01-19 14:00:00,37.13292,-122.04096,164M,M,3043.7,14400,0.7609,1.06557,3
2448000,2025-01-19 18:00:00,37.13348,-122.03969,164M,M,128.7,14400,0.0322,2.49423,1
2462400,2025-01-19 22:00:00,37.1087,-122.0162,164M,M,3454.0,14400,0.8635,2.64477,3
2520000,2025-01-20 14:00:00,37.08972,-122.0033,164M,M,2400.6,57600,0.15,3.75185,2
2548800,2025-01-20 22:00:00,37.05685,-122.0321,164M,M,4459.5,28800,0.5574,4.68973,3
2577600,2025-01-21 06:00:00,37.0562,-122.06774,164M,M,3163.5,28800,0.3954,0.18924,2
2592000,2025-01-21 10:00:00,37.05645,-122.06768,164M,M,28.3,14400,0.0071,3.90536,1
2606400,2025-01-21 14:00:00,37.0563,-122.06786,164M,M,23.1,14400,0.0058,5.15167,1
2620800,2025-01-21 18:00:00,37.05636,-122.06802,164M,M,15.7,14400,0.0039,5.29016,1
2635200,2025-01-21 22:00:00,37.05777,-122.07073,164M,M,287.1,14400,0.0718,4.53761,2
2649600,2025-01-22 02:00:00,37.05714,-122.0752,164M,M,402.8,14400,0.1007,1.52783,2
2664000,2025-01-22 06:00:00,37.05732,-122.06995,164M,M,466.3,14400,0.1166,1.78156,2
